Board
JobName,PCBResult,PCBName
C:\KohYoung\KY_JOB\627-351-12A_BOT_JOB_DS-406546\627-351-12A_BOT_JOB_DS-406546.mdb,GOOD,627-351-12ABOT_JOB_DS-406546
Panel 
 ArrayBarcode,PanelResult,PanelInspectionDate,PanelInspectionStartTime,PanelInspectionEndTime 
508BFD5,GOOD,2026-06-12,14:09:02,14:09:31
Pad 
 ComponentID,PadNo,Volume,Height,Area,OffsetX,OffsetY,PadResult 
BD1,1,133.4393,150.2788,112.769,0.01311787,-0.0005781091,GOOD,
BD1,2,136.8083,159.9193,108.6464,0.01595437,-0.001448919,GOOD,
BD2,3,139.1419,149.752,118.002,0.01369835,-0.002702691,GOOD,
BD2,4,141.7394,168.2725,106.9747,0.01641411,0.002567311,GOOD,
BD3,5,119.598,138.6244,109.5691,-0.005382752,-0.008671536,GOOD,
BD3,6,123.6163,151.5776,103.5725,-0.01305202,-0.005727358,GOOD,
BD4,7,120.1844,143.5321,106.3414,0.003951096,-0.003816207,GOOD,
BD4,8,125.1515,154.7209,102.7285,0.006670513,-0.005861519,GOOD,
BD5,9,109.0754,140.7288,98.43458,0.0008463065,-0.01607709,GOOD,
BD5,10,129.6738,158.0597,104.1921,0.003616953,0.0006464088,GOOD,
BD6,11,108.2621,140.2855,98.00932,-0.0006463282,-0.0275245,GOOD,
BD6,12,121.4889,147.7239,104.4454,0.002182859,-0.007188467,GOOD,
BD7,13,107.2816,139.2233,97.86263,0.001326782,-0.01837732,GOOD,
BD7,14,120.483,161.6622,94.65009,0.004068157,0.01038388,GOOD,
BD8,15,109.805,138.9138,100.3877,0.009676522,-0.0161771,GOOD,
BD8,16,121.7865,159.2213,97.14081,0.01249228,0.002629516,GOOD,
BD9,17,118.465,142.2012,105.8012,0.009314327,-0.00365521,GOOD,
BD9,18,121.0705,148.8025,103.3312,-0.0006268079,-0.0007427436,GOOD,
BD10,19,129.595,150.6717,109.2346,0.00835949,-8.292671E-05,GOOD,
BD10,20,135.0445,153.2925,111.8819,-0.004555945,0.00285148,GOOD,
BD11,21,116.0451,137.7858,106.9611,-0.00942044,0.004015012,GOOD,
BD11,22,128.8942,150.5473,108.7337,-0.003794993,0.001836757,GOOD,
BD12,23,116.8728,139.9056,106.0919,0.002864551,0.005048038,GOOD,
BD12,24,124.2341,156.5405,100.7901,0.005152284,0.007969038,GOOD,
BD19,25,128.8775,157.7085,103.7829,-0.006299807,-0.0259829,GOOD,
BD19,26,148.0748,186.5825,100.7892,0.007653422,0.002912466,GOOD,
BD20,27,130.2063,158.9194,104.054,0.00500715,-0.01582829,GOOD,
BD20,28,111.9431,145.1639,97.93601,-0.002638939,-0.01434278,GOOD,
BD21,29,124.7237,158.2946,100.066,-0.002648689,-0.01618198,GOOD,
BD21,30,108.4894,141.4457,97.40948,-0.0003999966,-0.007639728,GOOD,
BD22,31,112.0462,145.2125,97.99339,0.007079041,-0.03007109,GOOD,
BD22,32,129.7187,163.3097,100.8776,0.009902114,-0.005993243,GOOD,
BD28,33,118.2536,148.2317,101.3158,-0.008631435,-0.01102298,GOOD,
BD28,34,124.9474,158.9923,99.80557,-0.005872977,-0.003210063,GOOD,
BD29,35,120.2782,146.1661,104.5066,-0.002812104,0.004538229,GOOD,
BD29,36,128.1734,160.1134,101.6656,-5.120836E-05,0.002431931,GOOD,
BD30,37,122.7137,134.7712,115.6377,-0.00347062,0.005332207,GOOD,
BD30,38,132.0272,142.8993,117.3376,-0.001350558,0.003593025,GOOD,
BD31,39,122.9549,143.3889,108.9016,0.005616895,0.005263908,GOOD,
BD31,40,115.1146,129.9336,112.5156,-0.008204626,-0.01119616,GOOD,
BD32,41,129.804,150.1668,109.7787,0.01250936,0.01056194,GOOD,
BD32,42,126.9696,139.1245,115.9044,0.002809667,-0.005898107,GOOD,
BD33,43,118.888,141.2866,106.8663,0.006448577,0.01370858,GOOD,
BD33,44,116.8134,132.3284,112.1097,-0.003646223,-0.002777086,GOOD,
BD34,45,119.8279,138.9832,109.4962,0.001997506,0.01293291,GOOD,
BD34,46,115.7485,128.8201,114.1131,-0.002695042,-0.003519829,GOOD,
BD35,47,117.3347,140.997,105.6867,0.01528732,0.005959094,GOOD,
BD35,48,115.9524,130.4618,112.8756,0.01083136,-0.01053147,GOOD,
BD36,49,130.2664,150.8425,109.6762,0.01476783,0.01145106,GOOD,
BD36,50,127.4897,141.0627,114.7801,0.001858486,-0.005026078,GOOD,
BD37,51,128.3913,142.944,114.0705,-0.002395045,-0.0238949,GOOD,
BD37,52,125.6988,139.8038,114.1868,-0.01503977,-0.02563165,GOOD,
BD38,53,126.1848,145.9473,109.8031,-0.0002268313,-0.0166113,GOOD,
BD38,54,123.3707,137.9866,113.5478,-0.003080393,-0.02226792,GOOD,
BD39,55,123.181,141.4001,110.6363,-0.005694937,-0.0256902,GOOD,
BD39,56,124.3486,137.8252,114.5818,-0.007309529,-0.02959055,GOOD,
BD40,57,121.5307,142.1857,108.551,-0.01116794,-0.0255048,GOOD,
BD40,58,117.9713,133.225,112.459,-0.005580312,-0.02503647,GOOD,
BD41,59,112.2042,131.0889,108.7044,0.00304381,-0.01793825,GOOD,
BD41,60,113.5636,125.4938,114.9266,0.00479009,-0.01706865,GOOD,
BD42,61,116.4963,134.1154,110.3157,-0.01051917,-0.02014821,GOOD,
BD42,62,112.9846,126.585,113.355,-0.00592908,-0.01621737,GOOD,
BD43,63,123.9042,142.0596,110.7692,-0.005982726,-0.01936642,GOOD,
BD43,64,126.9672,138.0165,116.8326,-0.005465688,-0.01673813,GOOD,
BD44,65,121.717,136.6611,113.1123,0.001419468,0.01139985,GOOD,
BD44,66,127.5786,141.0929,114.8355,0.006936365,-0.00500168,GOOD,
BD45,67,128.659,147.7821,110.5661,0.0007560775,-0.007843408,GOOD,
BD45,68,114.8064,130.6711,111.581,-0.003760847,-0.004349176,GOOD,
BD46,69,124.7917,143.6772,110.3066,-0.002480419,-0.005777374,GOOD,
BD46,70,112.5798,130.0619,109.9295,-0.009216785,-0.002275829,GOOD,
BD47,71,121.5436,142.7422,108.1393,0.009860656,-0.00382474,GOOD,
BD47,72,111.5482,128.7679,110.0167,0.005312023,-0.0003097862,GOOD,
